country,Id,YEAR,cequ,dtax
AUT,142441,1981,,
AUT,142441,1982,,
AUT,142441,1983,,
AUT,142441,1984,,
AUT,142441,1985,,
AUT,142441,1986,,
AUT,142441,1987,,
AUT,142441,1988,,
AUT,142441,1989,,
AUT,142441,1990,,
AUT,142441,1991,,
AUT,142441,1992,326708,0
AUT,142441,1993,443871,3759
AUT,142441,1994,487965,4178
AUT,142441,1995,471429,2284
AUT,142441,1996,515212,10712
AUT,142441,1997,560496,5621
AUT,142441,1998,577573,7535
AUT,142441,1999,575456,-68003
AUT,142441,2000,575946,-70420
AUT,142441,2001,577539,-40697
AUT,142441,2002,461614,-38954
AUT,142441,2003,450308,-43288
AUT,142441,2004,384586,-54692
AUT,142441,2005,,
AUT,142441,2006,,
AUT,142441,2007,,
AUT,142441,2008,,
AUT,142441,2009,,
AUT,142441,2010,,
AUT,142441,2011,,
AUT,142441,2012,,
AUT,142441,2013,,
AUT,142441,2014,,
AUT,142441,2015,,
AUT,142441,2016,,
AUT,142441,2017,,
AUT,142441,2018,,
AUT,142682,1980,,
AUT,142682,1981,,
AUT,142682,1982,,
AUT,142682,1983,,
AUT,142682,1984,,
AUT,142682,1985,,
AUT,142682,1986,,
AUT,142682,1987,,
AUT,142682,1988,,
AUT,142682,1989,,
AUT,142682,1990,,
AUT,142682,1991,,
AUT,142682,1992,,
AUT,142682,1993,,
AUT,142682,1994,,
AUT,142682,1995,,
AUT,142682,1996,,
AUT,142682,1997,,
AUT,142682,1998,,
AUT,142682,1999,,
AUT,142682,2000,,
AUT,142682,2001,,
AUT,142682,2002,,
AUT,142682,2003,,
AUT,142682,2004,,
AUT,142682,2005,,
AUT,142682,2006,,
AUT,142682,2007,,
AUT,142682,2008,,
AUT,142682,2009,,
AUT,142682,2010,,
AUT,142682,2011,,
AUT,142682,2012,,
AUT,142682,2013,,
AUT,142682,2014,,
AUT,142682,2015,,
AUT,142682,2016,,
AUT,142682,2017,,
AUT,142682,2018,,
AUT,143236,1980,55021,
AUT,143236,1981,60275,
AUT,143236,1982,70350,
AUT,143236,1983,79838,
AUT,143236,1984,85309,
AUT,143236,1985,91809,
AUT,143236,1986,100010,
AUT,143236,1987,106679,0
AUT,143236,1988,,
AUT,143236,1989,,
AUT,143236,1990,,
AUT,143236,1991,,
AUT,143236,1992,173751,
AUT,143236,1993,291915,
AUT,143236,1994,405074,
AUT,143236,1995,431175,
AUT,143236,1996,466933,
AUT,143236,1997,491530,
AUT,143236,1998,514487,
AUT,143236,1999,439628,
AUT,143236,2000,433192,
AUT,143236,2001,440375,-12351
AUT,143236,2002,402917,-30806
AUT,143236,2003,316500,-54243
AUT,143236,2004,400972,-80021
AUT,143236,2005,1615580,112106
AUT,143236,2006,1967281,97985
AUT,143236,2007,2259959,46904
AUT,143236,2008,3928975,10313
AUT,143236,2009,4339280,37706
