Date,market,variable,return,ym
31-03-06,AUT,MOM,-1.485130078,200603
28-04-06,AUT,MOM,3.052692789,200604
31-05-06,AUT,MOM,-4.583651162,200605
30-06-06,AUT,MOM,5.556220082,200606
31-07-06,AUT,MOM,-2.328451161,200607
31-08-06,AUT,MOM,2.915264655,200608
29-09-06,AUT,MOM,1.21503045,200609
31-10-06,AUT,MOM,2.337516189,200610
30-11-06,AUT,MOM,-0.874900934,200611
29-12-06,AUT,MOM,7.718013938,200612
31-01-07,AUT,MOM,-0.121915441,200701
28-02-07,AUT,MOM,-2.713016819,200702
30-03-07,AUT,MOM,6.149717523,200703
30-04-07,AUT,MOM,1.441125367,200704
31-05-07,AUT,MOM,2.112026955,200705
29-06-07,AUT,MOM,3.16192335,200706
31-07-07,AUT,MOM,5.954975194,200707
31-08-07,AUT,MOM,-4.031499747,200708
28-09-07,AUT,MOM,0.493389158,200709
31-10-07,AUT,MOM,-5.610712601,200710
30-11-07,AUT,MOM,1.974281347,200711
31-12-07,AUT,MOM,-3.020302179,200712
31-01-08,AUT,MOM,7.72200554,200801
29-02-08,AUT,MOM,-3.094702315,200802
31-03-08,AUT,MOM,-1.425546721,200803
30-04-08,AUT,MOM,-0.524583765,200804
30-05-08,AUT,MOM,-0.222404862,200805
30-06-08,AUT,MOM,10.91259247,200806
31-07-08,AUT,MOM,7.011941071,200807
29-08-08,AUT,MOM,-0.36597048,200808
30-09-08,AUT,MOM,10.11964793,200809
31-10-08,AUT,MOM,10.467483,200810
28-11-08,AUT,MOM,15.06345686,200811
31-12-08,AUT,MOM,5.348850638,200812
30-01-09,AUT,MOM,-4.388013381,200901
27-02-09,AUT,MOM,2.470472868,200902
31-03-09,AUT,MOM,-19.95315048,200903
30-04-09,AUT,MOM,-35.63504795,200904
29-05-09,AUT,MOM,-11.95919861,200905
30-06-09,AUT,MOM,4.197062787,200906
31-07-09,AUT,MOM,-9.075567205,200907
31-08-09,AUT,MOM,-16.84253331,200908
30-09-09,AUT,MOM,-6.122576733,200909
30-10-09,AUT,MOM,1.596959613,200910
30-11-09,AUT,MOM,6.817387769,200911
31-12-09,AUT,MOM,-0.000964822,200912
29-01-10,AUT,MOM,-0.449137067,201001
26-02-10,AUT,MOM,-1.443239063,201002
31-03-10,AUT,MOM,4.979149389,201003
30-04-10,AUT,MOM,5.79066769,201004
31-05-10,AUT,MOM,-5.690445186,201005
30-06-10,AUT,MOM,0.81994387,201006
30-07-10,AUT,MOM,4.892562942,201007
31-08-10,AUT,MOM,2.258685236,201008
30-09-10,AUT,MOM,1.562602789,201009
