"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00652475473265271,0.000324028165350386,20.1363814333769,5.52200553147263e-88
"2","Mkt.RF",0.00588746290934375,6.66695547804928e-05,88.3081179817087,0
"3","SMB",0.000799713890609832,6.47752702663492e-05,12.3459753594465,1.06724273227247e-34
"4","HML",3.6566584168165e-05,4.56719474416042e-05,0.800635537052997,0.423366711387332
"5","RMW",0.000974613112390794,0.000198457195147446,4.91094873968513,9.24529379480055e-07
"6","CMA",0.0036251978939536,0.000168739029276547,21.4840509009463,1.47330541429331e-99
