"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00926157092750864,0.000341064853333707,27.1548675771844,2.46939724264508e-155
"2","Mkt.RF",0.00832776342511287,6.90729338048141e-05,120.564785168173,0
"3","SMB",0.000714076921187218,7.13779242129748e-05,10.004170463918,2.01228665596179e-23
"4","HML",0.000354090882598826,5.0307281153563e-05,7.03856130721841,2.10477926193224e-12
"5","RMW",-0.0010353848353761,0.000209884359296461,-4.93312049953006,8.2576197079742e-07
