"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00762211441727654,0.000459116042096298,16.6017165997389,7.19484815339569e-61
"2","Mkt.RF",0.0111240443109953,9.44642021660161e-05,117.759363398268,0
"3","SMB",-0.000475600515714065,9.17801873125619e-05,-5.18195189659381,2.24999907388262e-07
"4","HML",0.000254855245799828,6.47126576837697e-05,3.93825960672524,8.2779489577841e-05
"5","RMW",0.00112332641468612,0.000281194327237267,3.99484024348144,6.53246783376258e-05
"6","CMA",0.00358844325727009,0.00023908660898304,15.0089679741312,3.13781627758792e-50
