"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.0124921237397864,0.00039414473538119,31.6942549738863,1.18281025095174e-207
"2","Mkt.RF",0.00708676384285105,8.1096203468992e-05,87.3871222043181,0
"3","SMB",0.00116977739604063,7.87920140546043e-05,14.8463954129913,3.35949554899222e-49
"4","HML",0.000468885402544097,5.5554916404409e-05,8.44003434603107,3.73719521425448e-17
"5","RMW",0.000164672759778234,0.000241401418241835,0.682153240762095,0.495162027102975
"6","CMA",0.002549328256866,0.000205252527880612,12.4204475491228,4.29378551564921e-35
