"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00703703375054825,0.000313270236526004,22.4631418183391,2.05468469146833e-108
"2","Mkt.RF",0.00713392519127024,5.8866320572052e-05,121.188569659936,0
