"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00722712954416795,0.000352061622721356,20.5280242938832,2.80317936014562e-91
"2","Mkt.RF",0.00880168538618405,7.24375043655526e-05,121.507297404487,0
"3","SMB",0.000566376162549467,7.03793348875253e-05,8.04747819021883,9.68158163789316e-16
"4","HML",0.000246871754920115,4.96232786176113e-05,4.9749182600865,6.66506374855656e-07
"5","RMW",0.000155749946910576,0.000215626817776121,0.722312505081287,0.470123714132334
"6","CMA",0.00335779609404421,0.000183337570051321,18.3148281779031,2.04281843079839e-73
