"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00780609292327716,0.000419016219814485,18.6295722078091,7.63105239551367e-76
"2","Mkt.RF",0.0100253845835603,8.62135697081419e-05,116.285459672986,0
"3","SMB",0.000737929521592608,8.37639803784264e-05,8.80962817500806,1.52434222025341e-18
"4","HML",0.000421776396359249,5.90605657624017e-05,7.14142153761342,1.00567337371316e-12
"5","RMW",-7.3237958459902e-05,0.000256634430577191,-0.285378537459623,0.775361618890617
"6","CMA",0.00323353745477707,0.000218204457955588,14.8188423145562,5.00886600732051e-49
