"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00806785899363605,0.000328757472506378,24.5404581442009,3.09928854963326e-128
"2","Mkt.RF",0.00718819036220077,6.65804257293339e-05,107.962517263296,0
"3","SMB",0.000693998048261175,6.88022401828944e-05,10.0868524980632,8.79128496468454e-24
"4","HML",0.000125640918416786,4.84919347128712e-05,2.59096526382638,0.00958828073050243
"5","RMW",-0.000714110934455517,0.000202310647979352,-3.52977434251705,0.00041827795563428
