"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00976524774636154,0.000403067398341279,24.227332169627,3.80730947313203e-125
"2","Mkt.RF",0.00956900058380429,8.16297764263191e-05,117.224387995739,0
"3","SMB",0.000880164464328194,8.43537935096914e-05,10.4342013288006,2.52533666151056e-25
"4","HML",0.000525027771817272,5.94526956794053e-05,8.83101709379922,1.26159342145005e-18
"5","RMW",-0.00122029359386413,0.00024803946178347,-4.91975585291909,8.84004529347689e-07
