"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00595616591617284,0.000338207648863213,17.610973424737,4.00085110755743e-68
"2","Mkt.RF",0.00768010806140156,6.9587016760365e-05,110.366968135009,0
"3","SMB",0.000540688804699072,6.76098382915929e-05,7.99719121301767,1.45330572052866e-15
"4","HML",1.43504720344025e-05,4.76705534116952e-05,0.301034307499394,0.763396243993715
"5","RMW",0.00052225355098869,0.000207141688742477,2.52123826043519,0.0117137489470565
"6","CMA",0.00348529813903157,0.000176123054924472,19.7889943512858,4.13581935447309e-85
